Feature,Importance
Daily_Return,0.05538353076637824
Volume,0.050276999412583505
RSI,0.048617502993637804
Rolling_STD_5,0.0485128004864798
Return_10,0.04743859989042533
Return_5,0.04655947403325206
Return_20,0.046308647755140965
Volatility,0.04627737826321835
Rolling_STD_10,0.04389124316249744
MACD,0.040979342295583115
Lag_20,0.03247678502437684
SMA_50,0.030771218727234522
Lag_10,0.030602198803993622
Lag_2,0.030288457252926032
Lag_5,0.030180425821011114
BB_Low,0.030154068037482853
High,0.029940070296109993
Open,0.029169552417418674
Lag_3,0.028734584372050457
Close,0.027824457592537183
BB_High,0.027577745056592624
Lag_1,0.02750567237212165
Low,0.026796494399737185
EMA_20,0.025751246171019163
SMA_20,0.024717587929084968
Rolling_Mean_5,0.023651133121246965
SMA_10,0.02342789712769194
Rolling_Mean_10,0.023208170179455208
EMA_10,0.022976716238712523
